TxnType,Nonce,Position,GasLimit_UsagebyTxn,GasLimit_UsagebyTxn1,GasLimit_UsagebyTxn2,L1DataFee,L1DataFee1,ExecutionFee,ExecutionFee1,ExecutionFee2,InputData,InputData1,InputData2,InputData3,PrivateNote,PrivateNote1,PrivateNote_URL,TransactionHash,Status,Block,Block_URL,Block1,Timestamp,From,From_URL,Value,Value1,TotalTxFee,TotalTxFee1,GasPrice,GasPrice1,GasPrice2
,,,,,,,,,,,,,,,,,,0xa881d1ebe3e6c76f1bb5eb71343cc7756ccf088ae5f0cb80b562a60475dcefb6,Success,2884707,https://scrollscan.com/block/2884707,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:42:00 PM +UTC),,,,,,,,,
0 (Legacy),106,2,"60,306",|,"59,854 (99.25%)",0.000124047200425855 ETH ($0.29),.,0.00002872992 ETH ($0.07),0.00002872992 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000022bf2a9fcaab9dc96526097318f459ef74277042
[1]:  000000000000000000000000000000000000000000000000000000000a9c1080",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x57fb0db0f5ad6115f85496d4f7aabf3d99d4077e2d2602206fabb89294b4ee2b,0x57fb0db0f5ad6115f85496d4f7aabf3d99d4077e2d2602206fabb89294b4ee2b,Success,2884707,https://scrollscan.com/block/2884707,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:42:00 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000152777120425855 ETH ($0.35),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xb8931e7a6a25b3c789401c08d5599331e2c61015f423ef9b099790ddccf01b67,Success,2884707,https://scrollscan.com/block/2884707,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:42:00 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x1b4fba1748f7e3acd4ad6be219fd7cbf804fa0d74d4e1e21089fc9803f7feac1,Success,2884707,https://scrollscan.com/block/2884707,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:42:00 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x481ac95eb0e5001423b0ed9b87d532cdc98c8ca46faef8ab1a505059bac49916,Success,2884706,https://scrollscan.com/block/2884706,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:57 PM +UTC),0xa92b18478fcc7038815db31e615f1cc856945e6a,https://scrollscan.com/address/0xa92b18478fcc7038815db31e615f1cc856945e6a,,,,,,,
,,,,,,,,,,,,,,,,,,0xf8b469de86e64141471478110329f2036c4e8848eb9f1f6af9b3365542c2dc8e,Success,2884706,https://scrollscan.com/block/2884706,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:57 PM +UTC),,,,,,,,,
0 (Legacy),32432,0,"27,300",|,"21,000 (76.92%)",0.000111714421593127 ETH ($0.26),.,0.00001008 ETH ($0.02),0.00001008 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x69fc643b2e6336ee8d8d0a2d4a08ee1a1ffd92ab95f8fa9ecfcbb437dce5e87c,0x69fc643b2e6336ee8d8d0a2d4a08ee1a1ffd92ab95f8fa9ecfcbb437dce5e87c,Success,2884706,https://scrollscan.com/block/2884706,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:57 PM +UTC),,,0.046638 ETH ($107.64),0.046638 ETH,0.000121794421593127 ETH ($0.28),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x365aac1664c59059e3f147b4048d5408f7fed1a9740415000b91ec07dd6b821e,Success,2884705,https://scrollscan.com/block/2884705,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:54 PM +UTC),,,,,,,,,
0 (Legacy),47618,0,"21,000",|,"21,000 (100%)",0.000112022741063946 ETH ($0.26),.,0.000011592 ETH ($0.03),0.000011592 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xb59b45248fd4753575137a993ed957f28fa68d7389c184bc2a6dd17456f4e90b,0xb59b45248fd4753575137a993ed957f28fa68d7389c184bc2a6dd17456f4e90b,Success,2884705,https://scrollscan.com/block/2884705,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:54 PM +UTC),,,0.012132000000000006 ETH ($28.00),0.012132000000000006 ETH,0.000123614741063946 ETH ($0.29),.,0.000000000552 ETH (0.552 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xd513751430933787b725aa3bfee7785b44e15a4c267ebdfcd1b5f8e6fa734f27,Success,2884704,https://scrollscan.com/block/2884704,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:51 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x8e6705049bf7ba5c5816267ad4836a47d4e7220252167dd945fd3f3c909b6da6,Success,2884704,https://scrollscan.com/block/2884704,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:51 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xde42d901937725b38431c30c4ee271ac61a1687dddd2cd1b77bf458452ec2aa2,Success,2884704,https://scrollscan.com/block/2884704,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:51 PM +UTC),,,,,,,,,
0 (Legacy),16,1,"244,314",|,"191,186 (78.25%)",0.000197838327108345 ETH ($0.46),.,0.00009176928 ETH ($0.21),0.00009176928 ETH,.,"Function: multicall(bytes[] data)

MethodID: 0xac9650d8
[0]:  0000000000000000000000000000000000000000000000000000000000000020
[1]:  0000000000000000000000000000000000000000000000000000000000000002
[2]:  0000000000000000000000000000000000000000000000000000000000000040
[3]:  00000000000000000000000000000000000000000000000000000000000001a0
[4]:  0000000000000000000000000000000000000000000000000000000000000124
[5]:  75ceafe600000000000000000000000000000000000000000000000000000000
[6]:  0000002000000000000000000000000000000000000000000000000000000000
[7]:  000000a000000000000000000000000000000000000000000000000000000000
[8]:  0000000000000000000000000000000000000000000000000000000000000000
[9]:  008c0706000000000000000000000000000000000000000000000000000e15ef
[10]: f690bb3f00000000000000000000000000000000000000000000000000000000
[11]: 65b7e5aa00000000000000000000000000000000000000000000000000000000
[12]: 0000002bf55bec9cafdbe8730f096aa55dad6d22d44099df000bb85300000000
[13]: 0000000000000000000000000000040000000000000000000000000000000000
[14]: 0000000000000000000000000000000000000000000000000000000000000000
[15]: 0000000000000000000000000000000000000000000000000000000000000044
[16]: 49404b7c00000000000000000000000000000000000000000000000000000000
[17]: 00000000000000000000000000000000dbf6badbfd7e4205c261989d2cf49ab8
[18]: 4c224e0700000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x354ab13a3984cdfbdbec0cf2bc758d3c1afc5b1db33660802cdda54281980cb3,0x354ab13a3984cdfbdbec0cf2bc758d3c1afc5b1db33660802cdda54281980cb3,Success,2884704,https://scrollscan.com/block/2884704,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:51 PM +UTC),0xdbf6badbfd7e4205c261989d2cf49ab84c224e07,https://scrollscan.com/address/0xdbf6badbfd7e4205c261989d2cf49ab84c224e07,0 ETH ($0.00),0 ETH,0.000289607607108345 ETH ($0.67),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xd3d9fab9f304ef3326d03d52a12a9f37457ffa1ccb58e0d8cd1ae53af0ad2f98,Success,2884704,https://scrollscan.com/block/2884704,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:51 PM +UTC),0x2ee53788f9e79314377e80a2354cbef12c32bf9b,https://scrollscan.com/address/0x2ee53788f9e79314377e80a2354cbef12c32bf9b,,,,,,,
,,,,,,,,,,,,,,,,,,0x7b05c29bfab2e7c68b55d75b7751a5b06a5a365da65369a84b9155f917be9f9d,Success,2884703,https://scrollscan.com/block/2884703,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:48 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x47cf0214cfaad9aad254038920e2388400e20857f20de43318adc15f38620000,Success,2884703,https://scrollscan.com/block/2884703,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:48 PM +UTC),0x619faae7b35a22af34e325d83c1873dbd195ba3b,https://scrollscan.com/address/0x619faae7b35a22af34e325d83c1873dbd195ba3b,,,,,,,
,,,,,,,,,,,,,,,,,,0xbb21fc0e03de8d9e348a47b2cf2b5db163b831ae604db0eaf026aad5e7ef9426,Success,2884702,https://scrollscan.com/block/2884702,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:45 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x33804a5f57f83f078d9b63ad820b79fdf35aab119ff568f80aed652191b07f68,Success,2884702,https://scrollscan.com/block/2884702,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:41:45 PM +UTC),0xb565791ab624a16980b87d94692c1dd0104b7bfa,https://scrollscan.com/address/0xb565791ab624a16980b87d94692c1dd0104b7bfa,,,,,,,
0 (Legacy),17,6,"177,890",|,"152,167 (85.54%)",0.000144362279936952 ETH ($0.33),.,0.00007304016 ETH ($0.17),0.00007304016 ETH,.,"Function: swapExactETHForTokens(uint256 amountOutMin,address[] path,address to,uint256 deadline)

MethodID: 0x7ff36ab5
[0]:  0000000000000000000000000000000000000000000000000000000002271f9e
[1]:  0000000000000000000000000000000000000000000000000000000000000080
[2]:  000000000000000000000000154da31b32fc94985f7cadc4e5394b6988e42d3e
[3]:  0000000000000000000000000000000000000000000000000000000065b7eab7
[4]:  0000000000000000000000000000000000000000000000000000000000000002
[5]:  0000000000000000000000005300000000000000000000000000000000000004
[6]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x4a2ade7f3d378e05be532faa4d593447c1ec18504ad16ebdbba631802b7aa679,0x4a2ade7f3d378e05be532faa4d593447c1ec18504ad16ebdbba631802b7aa679,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),0x154da31b32fc94985f7cadc4e5394b6988e42d3e,https://scrollscan.com/address/0x154da31b32fc94985f7cadc4e5394b6988e42d3e,0.015780240769408494 ETH ($36.39),0.015780240769408494 ETH,0.000217402439936952 ETH ($0.50),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x3fc142362bfdb809d4ad5ff0079f31e0e38c2d9194b1a25341f6f4919563474a,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),0x3e6ea289a2ba0c6825cd52c2ca3d6f589274e777,https://scrollscan.com/address/0x3e6ea289a2ba0c6825cd52c2ca3d6f589274e777,,,,,,,
0 (Legacy),12,4,"338,369",|,"325,169 (96.1%)",0.000178409987469252 ETH ($0.41),.,0.00015608112 ETH ($0.36),0.00015608112 ETH,.,"Function: addLiquidity2(address pool,tuple[] inputs,bytes data,uint256 minLiquidity,address callback,bytes callbackData)

MethodID: 0x94ec6d78
[0]:  0000000000000000000000002076d4632853fb165cf7c7e7fad592dac70f4fe1
[1]:  00000000000000000000000000000000000000000000000000000000000000c0
[2]:  0000000000000000000000000000000000000000000000000000000000000160
[3]:  00000000000000000000000000000000000000000000000015e43af8ee772d9d
[4]:  0000000000000000000000000000000000000000000000000000000000000000
[5]:  00000000000000000000000000000000000000000000000000000000000001a0
[6]:  0000000000000000000000000000000000000000000000000000000000000002
[7]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[8]:  00000000000000000000000000000000000000000000000000000000000b59db
[9]:  000000000000000000000000f55bec9cafdbe8730f096aa55dad6d22d44099df
[10]: 00000000000000000000000000000000000000000000000000000000000f4240
[11]: 0000000000000000000000000000000000000000000000000000000000000020
[12]: 0000000000000000000000004e04f4e86bd040642ed502d4249164bb5b58d19f
[13]: 0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x8a46d9d33353796f056a47cd5b4c4fc1eebf7c2cb12b462853454f1d4d08246c,0x8a46d9d33353796f056a47cd5b4c4fc1eebf7c2cb12b462853454f1d4d08246c,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),0x4e04f4e86bd040642ed502d4249164bb5b58d19f,https://scrollscan.com/address/0x4e04f4e86bd040642ed502d4249164bb5b58d19f,0 ETH ($0.00),0 ETH,0.000334491107469252 ETH ($0.77),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xe13d54bbfa53d3b3f3bbca81ba4019a950ba3ba8d477ee3674a3513c7f0349ac,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),0xf5f0320e92921515613b7d8e1c249dfe7a53f569,https://scrollscan.com/address/0xf5f0320e92921515613b7d8e1c249dfe7a53f569,,,,,,,
,,,,,,,,,,,,,,,,,,0xc8a349e548e25d0a77cc5cc8f68371a51e8f686865ba8e708395b78395c0e418,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x960ccfa5d9d49f9337625905d895fd2d161c834b30d0a1e51aaf72090bb529b6,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),,,,,,,,,
0 (Legacy),6,0,"281,851",|,"246,335 (87.4%)",0.000233080877849688 ETH ($0.54),.,0.0001182408 ETH ($0.27),0.0001182408 ETH,.,"Function: swapWithPermit(tuple[] paths,uint256 amountOutMin,uint256 deadline,tuple permit)

MethodID: 0xe84d494b
[0]:  0000000000000000000000000000000000000000000000000000000000000120
[1]:  000000000000000000000000000000000000000000000000000000000389b464
[2]:  0000000000000000000000000000000000000000000000000000000065b81288
[3]:  0000000000000000000000005300000000000000000000000000000000000004
[4]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
[5]:  0000000000000000000000000000000000000000000000000000000065b81284
[6]:  000000000000000000000000000000000000000000000000000000000000001b
[7]:  418aea01fc9d41e91664a62863899f0f429ffb68ece6fdf263d96545db149d90
[8]:  65fb0f9d7857345be94b59fb5b15e7fd67e230782bcc53e1a7a89e8f5be5c515
[9]:  0000000000000000000000000000000000000000000000000000000000000001
[10]: 0000000000000000000000000000000000000000000000000000000000000020
[11]: 0000000000000000000000000000000000000000000000000000000000000060
[12]: 0000000000000000000000005300000000000000000000000000000000000004
[13]: 000000000000000000000000000000000000000000000000005c5edcbc290000
[14]: 0000000000000000000000000000000000000000000000000000000000000001
[15]: 0000000000000000000000000000000000000000000000000000000000000020
[16]: 000000000000000000000000814a23b053fd0f102aeeda0459215c2444799c70
[17]: 0000000000000000000000000000000000000000000000000000000000000080
[18]: 0000000000000000000000000000000000000000000000000000000000000000
[19]: 0000000000000000000000000000000000000000000000000000000000000100
[20]: 0000000000000000000000000000000000000000000000000000000000000060
[21]: 0000000000000000000000005300000000000000000000000000000000000004
[22]: 000000000000000000000000437e5bf73e842a1d8dbadbd977ea5534e978b568
[23]: 0000000000000000000000000000000000000000000000000000000000000002
[24]: 0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x357b752c02c5bc63e29ef436b40e7dd04f71843bec2a92b161b782c623d54552,0x357b752c02c5bc63e29ef436b40e7dd04f71843bec2a92b161b782c623d54552,Success,2884732,https://scrollscan.com/block/2884732,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:15 PM +UTC),0x437e5bf73e842a1d8dbadbd977ea5534e978b568,https://scrollscan.com/address/0x437e5bf73e842a1d8dbadbd977ea5534e978b568,0 ETH ($0.00),0 ETH,0.000351321677849688 ETH ($0.81),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x92d838c46a685363cae3c1b2218845eec91f9752d75fc1a8d5d61fd6e02fadfc,Success,2884731,https://scrollscan.com/block/2884731,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:12 PM +UTC),0xb44044ae5fe92ee1528fa2d9ae1cfa130a3b1c15,https://scrollscan.com/address/0xb44044ae5fe92ee1528fa2d9ae1cfa130a3b1c15,,,,,,,
,,,,,,,,,,,,,,,,,,0x78fb3015a07e489d36b68beaf66be819600b11f3725eae50c1e2a1fee0161c2b,Success,2884730,https://scrollscan.com/block/2884730,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:09 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xf81b4bf3dae6e37d19ddbe4b7633928d72d6d2ca69b6aab6b5d9a90cfa902139,Success,2884730,https://scrollscan.com/block/2884730,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:09 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xe28bd0351c2566d84673ee0aa075bb634ac2c2a549ba44220e157b499809f11a,Success,2884730,https://scrollscan.com/block/2884730,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:09 PM +UTC),0x2ee53788f9e79314377e80a2354cbef12c32bf9b,https://scrollscan.com/address/0x2ee53788f9e79314377e80a2354cbef12c32bf9b,,,,,,,
,,,,,,,,,,,,,,,,,,0x26c8fb0e70b268399705291ca7570c816cc4acef098c90605a1782cd1e928173,Success,2884729,https://scrollscan.com/block/2884729,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:06 PM +UTC),,,,,,,,,
0 (Legacy),60,3,"56,228",|,"32,511 (57.82%)",0.000116540438924844 ETH ($0.27),.,0.00001560528 ETH ($0.04),0.00001560528 ETH,.,"Function: setApprovalForAll(address operator,bool approved)

MethodID: 0xa22cb465
[0]:  0000000000000000000000000cab6977a9c70e04458b740476b498b214019641
[1]:  0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xdb0ac2283fe7e9910e48dbbe3c1cbc51171edc32b98f078faf3a5053193b8918,0xdb0ac2283fe7e9910e48dbbe3c1cbc51171edc32b98f078faf3a5053193b8918,Success,2884729,https://scrollscan.com/block/2884729,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:06 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000132145718924844 ETH ($0.30),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),15,2,"174,491",|,"140,341 (80.43%)",0.000147475213197048 ETH ($0.34),.,0.00006736368 ETH ($0.16),0.00006736368 ETH,.,"Function: swapExactTokensForETH(uint256 amountIn,uint256 amountOutMin,address[] path,address to,uint256 deadline) ***

MethodID: 0x18cbafe5
[0]:  0000000000000000000000000000000000000000000000000000000001c00811
[1]:  000000000000000000000000000000000000000000000000002cf59bf708e659
[2]:  00000000000000000000000000000000000000000000000000000000000000a0
[3]:  000000000000000000000000d338cb795a5e0a57ca4a05319367ef2bbacc6cf2
[4]:  0000000000000000000000000000000000000000000000000000000065b7eaab
[5]:  0000000000000000000000000000000000000000000000000000000000000002
[6]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[7]:  0000000000000000000000005300000000000000000000000000000000000004",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xe46f9ce77cd252d77858e95c9e8fd8766aa825b1d3b0522bfb292e916109a484,0xe46f9ce77cd252d77858e95c9e8fd8766aa825b1d3b0522bfb292e916109a484,Success,2884729,https://scrollscan.com/block/2884729,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:06 PM +UTC),0xd338cb795a5e0a57ca4a05319367ef2bbacc6cf2,https://scrollscan.com/address/0xd338cb795a5e0a57ca4a05319367ef2bbacc6cf2,0 ETH ($0.00),0 ETH,0.000214838893197048 ETH ($0.50),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xa1eb2017bc8c3f86567e1833d73d07cc0c9c73fcbaf429619f5b09efe22096ea,Success,2884729,https://scrollscan.com/block/2884729,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:06 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x0d9c0c34f074ba77f134b5d102222f03ea1a84dd96d449e5271327af6e66a460,Success,2884729,https://scrollscan.com/block/2884729,Confirmed by Sequencer,39 mins ago (Jan-29-2024 05:43:06 PM +UTC),0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,https://scrollscan.com/address/0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,,,,,,,
,,,,,,,,,,,,,,,,,,0xad2df96a82d7aaec574330f4bd5bb6700dde24c055c85a63719682c30ade1524,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),0x7cbb8e9080606e6c37d6d8bdfd9b852922c18cdd,https://scrollscan.com/address/0x7cbb8e9080606e6c37d6d8bdfd9b852922c18cdd,,,,,,,
0 (Legacy),53,6,"45,270",|,"43,090 (95.18%)",0.000125587401211998 ETH ($0.29),.,0.0000206832 ETH ($0.05),0.0000206832 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  000000000000000000000000aaaaaaaacb71bf2c8cae522ea5fa455571a74106
[1]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xb18a28d05928b5012b7fc664b635a7a2c7bfebb826b77931ff2eddfadf84d269,0xb18a28d05928b5012b7fc664b635a7a2c7bfebb826b77931ff2eddfadf84d269,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000146270601211998 ETH ($0.34),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x1055407304de6d24b43910024cb599c3c231b3abf818adfe7a25e18ea60e00f2,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x43e05efc99e9fcc2b2c52e253a3d54027507a2ed97628711e2e28ab1731872f3,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,,,,,,,
0 (Legacy),14,3,"203,984",|,"144,500 (70.84%)",0.000191250837167148 ETH ($0.44),.,0.00006936 ETH ($0.16),0.00006936 ETH,.,"Function: execute(bytes commands,bytes[] inputs,uint256 deadline)

MethodID: 0x3593564c
[0]:  0000000000000000000000000000000000000000000000000000000000000060
[1]:  00000000000000000000000000000000000000000000000000000000000000a0
[2]:  0000000000000000000000000000000000000000000000000000000065b7ebc6
[3]:  0000000000000000000000000000000000000000000000000000000000000002
[4]:  0b00000000000000000000000000000000000000000000000000000000000000
[5]:  0000000000000000000000000000000000000000000000000000000000000002
[6]:  0000000000000000000000000000000000000000000000000000000000000040
[7]:  00000000000000000000000000000000000000000000000000000000000000a0
[8]:  0000000000000000000000000000000000000000000000000000000000000040
[9]:  0000000000000000000000000000000000000000000000000000000000000002
[10]: 00000000000000000000000000000000000000000000000000005af3107a4000
[11]: 0000000000000000000000000000000000000000000000000000000000000100
[12]: 00000000000000000000000085fcefce99aee8925bbe107284f76a4e3e2548cf
[13]: 00000000000000000000000000000000000000000000000000005af3107a4000
[14]: 0000000000000000000000000000000000000000000000000000000000037a9d
[15]: 00000000000000000000000000000000000000000000000000000000000000a0
[16]: 0000000000000000000000000000000000000000000000000000000000000000
[17]: 000000000000000000000000000000000000000000000000000000000000002b
[18]: 53000000000000000000000000000000000000040001f406efdbff2a14a7c8e1
[19]: 5944d1f4a48f9f95f663a4000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x810449666b6ccbef432a3b42ce49a57fb9d40b29b120d8cf0f7e68fdf3e86c8a,0x810449666b6ccbef432a3b42ce49a57fb9d40b29b120d8cf0f7e68fdf3e86c8a,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),0x85fcefce99aee8925bbe107284f76a4e3e2548cf,https://scrollscan.com/address/0x85fcefce99aee8925bbe107284f76a4e3e2548cf,0.0001 ETH ($0.23),0.0001 ETH,0.000260610837167148 ETH ($0.60),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),4,2,"49,257",|,"48,902 (99.28%)",0.000116832276417978 ETH ($0.27),.,0.00002347296 ETH ($0.05),0.00002347296 ETH,.,"Function: approve(address spender,uint256 amount)

MethodID: 0x095ea7b3
[0]:  000000000000000000000000414991b742fbcbe3ef00d94ff9f9a63729091711
[1]:  0000000000000000000000000000000000000000000000000000000000007bba",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xda6fea4dfb4f549d7ed52b3a5a4774168aaaffbf8774a8966d80a0d04de3d3aa,0xda6fea4dfb4f549d7ed52b3a5a4774168aaaffbf8774a8966d80a0d04de3d3aa,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000140305236417978 ETH ($0.32),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x45568f1ed00572fc0a3a2d7d4067c0e380d3af25ed2c8c2d837c743eff49bd78,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,,,,,,,
0 (Legacy),193374,0,"31,500",|,"21,000 (66.67%)",0.000106228847500776 ETH ($0.24),.,0.000012096 ETH ($0.03),0.000012096 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x6c715244b3f3e3d0b0250154de43f94108f4c81499aae119ceb63f6b278f8f68,0x6c715244b3f3e3d0b0250154de43f94108f4c81499aae119ceb63f6b278f8f68,Success,2884728,https://scrollscan.com/block/2884728,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:03 PM +UTC),,,0.188172000000000001 ETH ($433.92),0.188172000000000001 ETH,0.000118324847500776 ETH ($0.27),.,0.000000000576 ETH (0.576 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x6f079dbcebb059287aa1c651bc10291e3376c16eb21192e23493fdae6c02c639,Success,2884727,https://scrollscan.com/block/2884727,Confirmed by Sequencer,40 mins ago (Jan-29-2024 05:43:00 PM +UTC),0x08e1550d8de7d405c3fc0456c57e50b79e046b8b,https://scrollscan.com/address/0x08e1550d8de7d405c3fc0456c57e50b79e046b8b,,,,,,,
